slug,cell,filer_type,doc_type,n_cites,words,cite_density,parenthetical_richness,string_cite_rate,gerund_paren_rate,has_toa,proposition_repeat_rate,cite_prop_cv
liquidia-technologies-inc-v-united-states-69066712,attorney__merits_brief,attorney,merits_brief,117,13297,8.799,0.214,0.018,0.094,True,0.071,0.13
freedom-coalition-of-doctors-for-choice-67509336,attorney__merits_brief,attorney,merits_brief,26,9266,2.806,0.615,0.0,0.038,True,0.0,0.0
cummings-v-keefer-66998889,attorney__merits_brief,attorney,merits_brief,17,3923,4.333,0.176,0.0,0.0,False,0.0,0.0
state-of-california-v-centers-for-70827666,attorney__merits_brief,attorney,merits_brief,89,13327,6.678,0.292,0.047,0.067,True,0.0,0.201
state-of-tennessee-v-mcmahon-68487552,attorney__merits_brief,attorney,merits_brief,1,841,1.189,1.0,0.0,1.0,False,0.0,0.0
boehringer-ingelheim-pharmaceuticals-inc-v-united-67706159,attorney__merits_brief,attorney,merits_brief,379,17152,22.097,0.095,0.109,0.055,True,0.012,0.303
feds-for-freedom-v-u-s-68061364,attorney__merits_brief,attorney,merits_brief,52,3368,15.439,0.154,0.0,0.115,False,0.0,0.0
citizens-for-responsibility-and-ethics-in-69846781,attorney__merits_brief,attorney,merits_brief,135,10983,12.292,0.393,0.069,0.259,False,0.0,0.237
national-housing-trust-community-development-fund-72130413,attorney__merits_brief,attorney,merits_brief,24,3041,7.892,0.292,0.0,0.292,False,0.0,0.0
archuleta-v-board-of-education-for-68438146,attorney__pleading,attorney,pleading,9,4716,1.908,0.111,0.0,0.0,False,0.0,0.0
walton-v-city-of-boise-67937236,attorney__pleading,attorney,pleading,0,3603,0.0,0.0,0.0,0.0,False,0.0,0.0
jackson-v-johnson-67495696,attorney__pleading,attorney,pleading,2,2408,0.831,0.0,0.0,0.0,False,0.0,0.0
packaging-corporation-of-america-v-northland-68283768,attorney__pleading,attorney,pleading,0,8877,0.0,0.0,0.0,0.0,False,0.0,0.0
dixon-v-inktel-contract-center-solutions-69685464,attorney__pleading,attorney,pleading,7,11235,0.623,0.286,0.0,0.143,False,0.0,0.0
thomas-v-joule-processing-llc-count-68063707,attorney__pleading,attorney,pleading,11,8423,1.306,0.091,0.0,0.0,False,0.0,0.0
neskes-v-american-contract-systems-inc-71884898,attorney__pleading,attorney,pleading,4,27423,0.146,9.0,0.0,0.0,False,0.0,0.0
peper-v-alaska-eagle-tendering-llc-73459456,attorney__pleading,attorney,pleading,2,1860,1.075,0.0,0.0,0.0,False,0.0,0.0
cooley-v-sharkninja-operating-llc-69398562,attorney__pleading,attorney,pleading,0,2047,0.0,0.0,0.0,0.0,False,0.0,0.0
ruiz-v-united-states-postal-service-66791549,attorney__pleading,attorney,pleading,0,920,0.0,0.0,0.0,0.0,False,0.0,0.0
shoals-technologies-group-llc-v-voltage-69533131,attorney__procedural_motion,attorney,procedural_motion,0,297,0.0,0.0,0.0,0.0,False,0.0,0.0
simmons-v-author-reputation-press-llc-69150237,attorney__procedural_motion,attorney,procedural_motion,49,5612,8.731,0.327,0.0,0.061,False,0.0,0.0
kestenbaum-v-president-and-fellows-of-68152041,attorney__procedural_motion,attorney,procedural_motion,0,645,0.0,0.0,0.0,0.0,False,0.0,0.0
matdonado-v-trust-roofing-inc-69385919,attorney__procedural_motion,attorney,procedural_motion,19,2883,6.59,0.158,0.0,0.158,False,0.0,0.0
mendez-v-alpha-omega-calibration-services-68243139,attorney__procedural_motion,attorney,procedural_motion,27,1818,14.851,0.037,0.2,0.037,False,0.0,0.655
esha-research-llc-v-rlh-assets-70345030,attorney__procedural_motion,attorney,procedural_motion,33,2618,12.605,0.333,0.0,0.121,False,0.0,0.0
center-for-biological-diversity-v-office-69559509,attorney__procedural_motion,attorney,procedural_motion,20,2500,8.0,0.55,0.25,0.35,False,0.0,0.346
johnson-jr-v-town-of-smithfield-67530545,attorney__procedural_motion,attorney,procedural_motion,0,386,0.0,0.0,0.0,0.0,False,0.0,0.0
ltl-management-llc-v-those-parties-67135869,attorney__procedural_motion,attorney,procedural_motion,0,518,0.0,0.0,0.0,0.0,False,0.0,0.0
crypton-future-media-inc-v-the-73264363,pro_se__merits_brief,pro_se,merits_brief,0,1437,0.0,0.0,0.0,0.0,False,0.0,0.0
frymier-v-aid-to-victims-of-69605230,pro_se__merits_brief,pro_se,merits_brief,8,617,12.966,0.0,0.0,0.0,False,0.0,0.0
holt-v-bh-management-services-llc-71318998,pro_se__merits_brief,pro_se,merits_brief,5,2249,2.223,0.4,0.0,0.0,False,0.0,0.0
krivolenkov-v-huff-70012654,pro_se__merits_brief,pro_se,merits_brief,18,6356,2.832,0.167,0.0,0.0,False,0.0,0.0
lawson-v-trans-union-llc-68842040,pro_se__merits_brief,pro_se,merits_brief,0,494,0.0,0.0,0.0,0.0,False,0.0,0.0
mcgough-v-conlin-69476784,pro_se__merits_brief,pro_se,merits_brief,23,2376,9.68,0.0,0.0,0.0,False,0.0,0.0
wilson-v-city-of-hood-river-69449591,pro_se__merits_brief,pro_se,merits_brief,26,4569,5.691,0.115,0.0,0.0,False,0.0,0.0
williams-jr-v-corecivic-of-america-68446778,pro_se__pleading,pro_se,pleading,22,1704,12.911,0.318,0.25,0.318,False,0.0,0.346
peterson-v-zook-213-67529560,pro_se__pleading,pro_se,pleading,19,1651,11.508,0.316,0.1,0.316,False,0.0,0.273
mccoy-v-california-civil-rights-department-67462860,pro_se__pleading,pro_se,pleading,13,1332,9.76,0.308,0.143,0.308,False,0.0,0.306
devin-wade-v-us-commission-on-68220075,pro_se__pleading,pro_se,pleading,1,1586,0.631,0.0,0.0,0.0,False,0.0,0.0
ogbu-v-united-states-department-of-70791884,pro_se__pleading,pro_se,pleading,0,8550,0.0,0.0,0.0,0.0,False,0.0,0.0
garces-v-u-s-department-of-69725580,pro_se__pleading,pro_se,pleading,20,1333,15.004,0.25,0.25,0.1,False,0.0,0.346
